#date,time,06/04/2021,00:39:21
#lambda, 0.10000000E+01
# iter, Lambda*J0, sqrt(2*J0/Nobs)
  1.80254649400E+000  1.88177644636E+010  2.00776667227E+002
  2.80254649400E+000  2.32160287991E+010  2.23009412554E+002
  3.80254649400E+000  1.41947347100E+010  1.74378471637E+002
  4.80254649400E+000  1.34950521441E+010  1.70026459019E+002
  5.80254649400E+000  1.21225737060E+010  1.61148639544E+002
  6.80254649400E+000  1.21678987084E+010  1.61449617213E+002
  7.80254649400E+000  1.20732853805E+010  1.60820704376E+002
  8.80254649400E+000  1.19489681340E+010  1.59990585685E+002
  9.80254649400E+000  1.16482389882E+010  1.57964451216E+002
  1.08025464940E+001  1.16311067965E+010  1.57848241672E+002
  1.18025464940E+001  1.16259280324E+010  1.57813096701E+002
  1.28025464940E+001  1.16142965865E+010  1.57734132946E+002
  1.38025464940E+001  1.15797637962E+010  1.57499462916E+002
  1.48025464940E+001  1.15267173131E+010  1.57138299124E+002
  1.58025464940E+001  1.14148301461E+010  1.56373786883E+002
  1.68025464940E+001  1.12817073585E+010  1.55459276383E+002
  1.78025464940E+001  1.13468417384E+010  1.55907398736E+002
  1.88025464940E+001  1.12634660143E+010  1.55333544821E+002
  1.98025464940E+001  1.12148748848E+010  1.54998124515E+002
  2.08025464940E+001  1.12030272480E+010  1.54916231193E+002
  2.18025464940E+001  1.12037685905E+010  1.54921356776E+002
  2.28025464940E+001  1.12052674648E+010  1.54931719355E+002
  2.38025464940E+001  1.12019666414E+010  1.54908897949E+002
  2.48025464940E+001  1.11814637585E+010  1.54767068673E+002
  2.58025464940E+001  1.11275762798E+010  1.54393679288E+002
  2.68025464940E+001  1.10248545717E+010  1.53679401847E+002
  2.78025464940E+001  1.09196602246E+010  1.52944473688E+002
