   1.000000000000E+000     12805   4.665210981664E+014   2.069987374230E+013
   2.000000000000E+000     49730   4.666717369741E+014   2.069296041821E+013
   3.000000000000E+000     55253   4.666395425450E+014   2.068479170077E+013
   4.000000000000E+000     56800   4.667307411506E+014   2.070116528936E+013
   5.000000000000E+000     57816   4.666851076161E+014   2.069743950126E+013
   6.000000000000E+000     58731   4.666829609203E+014   2.069833270763E+013
   7.000000000000E+000     59510   4.666084942521E+014   2.069306636283E+013
   8.000000000000E+000     60187   4.667896398776E+014   2.068888376078E+013
   9.000000000000E+000     60842   4.667979917157E+014   2.068078233630E+013
   1.000000000000E+001     61398   4.666247388404E+014   2.069473399853E+013
