#date,time,06/09/2021,14:24:41
#lambda, 0.10000000E+06
# iter, Jreg,sqrt(2*Jreg/area)
  1.23538009400E+000  1.41555480710E+002  3.86981785512E-005
  2.23538009400E+000  6.25478637005E+002  8.13454788796E-005
  3.23538009400E+000  7.14156106820E+002  8.69208083919E-005
  4.23538009400E+000  7.60674208586E+002  8.97070396869E-005
  5.23538009400E+000  5.78397372736E+003  2.47366187393E-004
  6.23538009400E+000  8.06906304636E+002  9.23929287603E-005
  7.23538009400E+000  7.66127926338E+002  9.00280464283E-005
  8.23538009400E+000  1.26735633598E+003  1.15791465301E-004
  9.23538009400E+000  9.28592245499E+002  9.91150731764E-005
  1.02353800940E+001  9.53389407270E+002  1.00429740564E-004
  1.12353800940E+001  1.08335682734E+003  1.07056475607E-004
  1.22353800940E+001  9.39890268224E+002  9.97162082829E-005
  1.32353800940E+001  9.07266741608E+002  9.79703534969E-005
  1.42353800940E+001  8.23616835462E+002  9.33447264504E-005
  1.52353800940E+001  7.25981461487E+002  8.76374929173E-005
  1.62353800940E+001  2.73993177263E+003  1.70253894052E-004
  1.72353800940E+001  8.70193280439E+002  9.59478046682E-005
  1.82353800940E+001  7.63148731834E+002  8.98528326657E-005
  1.92353800940E+001  1.16153883075E+003  1.10852130954E-004
  2.02353800940E+001  1.07948077218E+003  1.06864789627E-004
  2.12353800940E+001  1.42880367318E+003  1.22945732460E-004
  2.22353800940E+001  8.80212615187E+002  9.64985913920E-005
  2.32353800940E+001  8.77223082346E+002  9.63345792708E-005
  2.42353800940E+001  8.79916596152E+002  9.64823635958E-005
  2.52353800940E+001  9.17414869378E+002  9.85167478973E-005
  2.62353800940E+001  1.05744005758E+003  1.05768186672E-004
  2.72353800940E+001  1.31240392536E+003  1.17831373475E-004
  2.82353800940E+001  1.26664145069E+003  1.15758803101E-004
  2.92353800940E+001  1.11075066642E+003  1.08401544703E-004
  3.02353800940E+001  1.58848636026E+003  1.29634000831E-004
  3.12353800940E+001  1.01519671934E+003  1.03634005094E-004
